hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 0.00000, 9625.15, 9966.65, 9797.01, 0, 109.612, 113.501, 111.568, 6.55289
0, 0.00000, 9698.83, 10042.4, 9877.5, 0, 107.7, 111.515, 109.683, 6.4573
0, 0.00000, 9773.19, 10118.9, 9958.89, 0, 105.753, 109.493, 107.761, 6.35924
0, 0.00000, 9848.24, 10196.2, 10041.2, 0, 103.769, 107.435, 105.801, 6.25861
0, 0.00000, 9924.07, 10274.3, 10124.6, 0, 101.745, 105.336, 103.8, 6.1552
0, 0.00000, 10000.3, 10352.9, 10208.6, 0, 99.6904, 103.205, 101.766, 6.04939
0, 0.00000, 10077.4, 10432.6, 10293.6, 0, 97.5949, 101.035, 99.688, 5.93941
0, 0.00000, 10154.9, 10513, 10379.3, 0, 95.4651, 98.831, 97.5737, 5.82621
0, 0.00000, 10233.2, 10594.2, 10466, 0, 93.2946, 96.5857, 95.4166, 5.71036
0, 0.00000, 10311.9, 10676, 10553.5, 0, 91.0854, 94.301, 93.2191, 5.59247
0, 0.00000, 10391.3, 10758.6, 10642, 0, 88.8348, 91.9741, 90.9777, 5.47151
0, 0.00000, 10471.3, 10841.7, 10731.3, 0, 86.5449, 89.607, 88.6943, 5.34748
0, 0.00000, 10551.7, 10925.6, 10821.4, 0, 84.2139, 87.1977, 86.3667, 5.22021
0, 0.00000, 10632.7, 11010.1, 10912.4, 0, 81.8398, 84.7442, 83.9928, 5.08956
0, 0.00000, 10714.2, 11095.1, 11004.2, 0, 79.4253, 82.2493, 81.5752, 4.95561
0, 0.00000, 10796.1, 11180.7, 11096.7, 0, 76.969, 79.7113, 79.112, 4.81792
0, 0.00000, 10878.6, 11267.1, 11189.9, 0, 74.4683, 77.1278, 76.5999, 4.67582
0, 0.00000, 10961.5, 11354, 11284, 0, 71.9237, 74.4992, 74.0399, 4.53012
0, 0.00000, 11045.6, 11441.2, 11378.8, 0, 69.3396, 71.8231, 71.4315, 4.37622
0, 0.00000, 11131.6, 11528.5, 11474.4, 0, 66.7185, 69.0992, 68.7748, 4.21175
0, 0.00000, 11218.6, 11616, 11570.7, 0, 64.0555, 66.3271, 66.0682, 4.03971
0, 0.00000, 11306, 11704, 11667.7, 0, 61.3457, 63.5073, 63.3103, 3.8641
0, 0.00000, 11393.8, 11792.3, 11765.3, 0, 58.5884, 60.6395, 60.5006, 3.68559
0, 0.00000, 11481.9, 11880.8, 11863.4, 0, 55.7845, 57.7243, 57.6395, 3.50401
0, 0.00000, 11570.4, 11969.7, 11962, 0, 52.9315, 54.7598, 54.7247, 3.3196
0, 0.00000, 11659.1, 12058.8, 12061.2, 0, 50.0297, 51.7463, 51.7564, 3.13246
0, 0.00000, 11748, 12148.1, 12160.7, 0, 47.0783, 48.6831, 48.7335, 2.94257
0, 0.00000, 11836.6, 12238.7, 12262.2, 0, 44.0774, 45.5774, 45.6632, 2.7569
0, 0.00000, 11926.2, 12340.4, 12366.5, 0, 41.0296, 42.4531, 42.5451, 2.56641
0, 0.00000, 12017.5, 12445.7, 12472.5, 0, 37.9367, 39.2863, 39.374, 2.37315
0, 0.00000, 12111, 12551.1, 12581, 0, 34.8003, 36.0634, 36.1514, 2.1768
0, 0.00000, 12205.4, 12656.8, 12690.6, 0, 31.6144, 32.7824, 32.8718, 1.97765
0, 0.00000, 12302.7, 12761.7, 12800.5, 0, 28.3841, 29.4432, 29.534, 1.76876
0, 0.00000, 12400.6, 12866.4, 12910.5, 0, 25.1045, 26.0479, 26.1381, 1.55547
0, 0.00000, 12498.2, 12971.2, 13020.4, 0, 21.7727, 22.5968, 22.6835, 1.341
0, 0.00000, 12595.3, 13075.8, 13130.2, 0, 18.3948, 19.0966, 19.1767, 1.12606
0, 0.00000, 12692, 13180.2, 13239.7, 0, 14.9752, 15.5514, 15.6221, 0.91103
0, 0.00000, 12788.1, 13284.5, 13348.8, 0, 11.528, 11.9756, 12.034, 0.696852
0, 0.00000, 12883.4, 13388.3, 13457.4, 0, 8.09099, 8.40814, 8.45184, 0.485898
0, 0.00000, 12977.9, 13491.7, 13565.4, 0, 4.81193, 5.00247, 5.02997, 0.28704
0, 0.00000, 13071.5, 13594.6, 13672.6, 0, 2.67346, 2.78046, 2.79653, 0.158378
0, 0.00000, 13164, 13696.8, 13779, 0, 4.3155, 4.49019, 4.51729, 0.253842
0, 0.00000, 13255.4, 13798.3, 13884.4, 0, 7.66526, 7.97925, 8.02929, 0.447588
0, 0.00000, 13345.5, 13900.8, 13990.1, 0, 11.3443, 11.816, 11.8926, 0.657395
0, 0.00000, 13434.4, 14003.4, 14095.4, 0, 15.1529, 15.7947, 15.8986, 0.870507
0, 0.00000, 13523.9, 14107, 14199.3, 0, 19.0443, 19.8652, 19.9954, 1.08476
0, 0.00000, 13611.8, 14209.4, 14301.4, 0, 23.0007, 24.0104, 24.1661, 1.29857
0, 0.00000, 13699.5, 14310.5, 14403.6, 0, 27.0154, 28.2203, 28.4042, 1.51101
0, 0.00000, 5138.3, 5374.84, 5119.14, 0, 200.776, 210.023, 200.042, 10.4985
0, 0.00000, 5178.82, 5416.52, 5160.05, 0, 200.147, 209.336, 199.42, 10.4447
0, 0.00000, 5219.91, 5458.78, 5201.47, 0, 199.521, 208.655, 198.815, 10.4203
0, 0.00000, 5261.5, 5501.56, 5243.41, 0, 198.886, 207.963, 198.2, 10.3953
0, 0.00000, 5303.98, 5545.23, 5286.26, 0, 198.234, 207.253, 197.57, 10.3697
0, 0.00000, 5346.93, 5589.39, 5329.6, 0, 197.573, 206.534, 196.931, 10.3435
0, 0.00000, 5390.52, 5634.19, 5373.61, 0, 196.899, 205.802, 196.279, 10.3169
0, 0.00000, 5434.75, 5679.64, 5418.27, 0, 196.213, 205.057, 195.616, 10.2896
0, 0.00000, 5479.77, 5725.9, 5463.75, 0, 195.511, 204.295, 194.938, 10.2617
0, 0.00000, 5525.37, 5772.74, 5509.84, 0, 194.798, 203.521, 194.248, 10.2333
0, 0.00000, 5571.72, 5820.35, 5556.71, 0, 194.069, 202.732, 193.544, 10.2042
0, 0.00000, 5618.79, 5868.7, 5604.33, 0, 193.326, 201.927, 192.826, 10.1745
0, 0.00000, 5666.56, 5917.75, 5652.67, 0, 192.569, 201.107, 192.095, 10.1441
0, 0.00000, 5715.19, 5967.67, 5701.91, 0, 191.795, 200.27, 191.347, 10.1129
0, 0.00000, 5764.45, 6018.24, 5751.82, 0, 191.007, 199.419, 190.587, 10.0812
0, 0.00000, 5814.51, 6069.61, 5802.55, 0, 190.203, 198.55, 189.81, 10.0486
0, 0.00000, 5865.51, 6121.94, 5854.26, 0, 189.38, 197.662, 189.015, 10.0153
0, 0.00000, 5917.23, 6175.01, 5906.74, 0, 188.542, 196.758, 188.206, 9.98118
0, 0.00000, 5969.81, 6228.96, 5960.12, 0, 187.685, 195.834, 187.378, 9.94626
0, 0.00000, 6023.23, 6283.75, 6014.38, 0, 186.811, 194.893, 186.534, 9.91052
0, 0.00000, 6077.43, 6339.33, 6069.47, 0, 185.919, 193.933, 185.674, 9.87397
0, 0.00000, 6132.73, 6396.03, 6125.69, 0, 185.005, 192.95, 184.791, 9.83641
0, 0.00000, 6188.72, 6453.44, 6182.67, 0, 184.075, 191.951, 183.893, 9.79805
0, 0.00000, 6261.14, 8348.04, 6096.78, 0, 183.573, 163.853, 178.754, 25.3724
0, 0.00000, 6317.61, 8408.24, 6154.43, 0, 182.536, 162.646, 177.827, 25.4509
0, 0.00000, 6375.02, 8469.25, 6213.24, 0, 181.49, 161.42, 176.89, 25.5129
0, 0.00000, 6433.13, 8530.62, 6272.96, 0, 180.421, 160.173, 175.936, 25.573
0, 0.00000, 8261.81, 8334.17, 6337.9, 0, 152.565, 154.18, 175.091, 30.3297
0, 0.00000, 8321.98, 8395.28, 6397.98, 0, 151.529, 152.859, 174.004, 29.8795
0, 0.00000, 8382.34, 8456.74, 6458.98, 0, 150.253, 151.582, 172.928, 29.9349
0, 0.00000, 8210.48, 8516.18, 8276.38, 0, 144.835, 150.234, 145.999, 8.21661
0, 0.00000, 8270.44, 8577.27, 8339.53, 0, 143.549, 148.874, 144.746, 8.15234
0, 0.00000, 8330.88, 8638.96, 8403.35, 0, 142.235, 147.494, 143.47, 8.09552
0, 0.00000, 8392.1, 8701.45, 8468.06, 0, 140.895, 146.088, 142.168, 8.0373
0, 0.00000, 8453.86, 8764.49, 8533.42, 0, 139.535, 144.662, 140.846, 7.97782
0, 0.00000, 8516.44, 8828.39, 8599.75, 0, 138.148, 143.207, 139.497, 7.91677
0, 0.00000, 8579.61, 8892.9, 8666.78, 0, 136.739, 141.731, 138.125, 7.85435
0, 0.00000, 8643.5, 8958.15, 8734.67, 0, 135.303, 140.228, 136.728, 7.79038
0, 0.00000, 8708.11, 9024.16, 8803.43, 0, 133.842, 138.699, 135.305, 7.72484
0, 0.00000, 8773.42, 9090.9, 8873.03, 0, 132.354, 137.143, 133.854, 7.65768
0, 0.00000, 8839.32, 9158.25, 8943.36, 0, 130.842, 135.562, 132.38, 7.589
0, 0.00000, 8906.09, 9226.51, 9014.73, 0, 129.3, 133.951, 130.875, 7.51844
0, 0.00000, 8973.48, 9295.43, 9086.87, 0, 127.731, 132.313, 129.343, 7.44623
0, 0.00000, 9041.55, 9365.06, 9159.85, 0, 126.135, 130.647, 127.783, 7.37226
0, 0.00000, 9110.34, 9435.45, 9233.72, 0, 124.51, 128.952, 126.194, 7.29644
0, 0.00000, 9179.87, 9506.62, 9308.51, 0, 122.855, 127.227, 124.574, 7.21868
0, 0.00000, 9250.15, 9578.58, 9384.23, 0, 121.168, 125.47, 122.923, 7.13893
0, 0.00000, 9321.06, 9651.22, 9460.78, 0, 119.453, 123.684, 121.242, 7.05725
0, 0.00000, 9392.77, 9724.71, 9538.32, 0, 117.705, 121.864, 119.527, 6.97339
0, 0.00000, 9465.15, 9798.91, 9616.72, 0, 115.926, 120.013, 117.781, 6.88745
0, 0.00000, 9538.21, 9873.84, 9696.01, 0, 114.115, 118.13, 116.001, 6.79935
0, 0.00000, 9612.04, 9949.6, 9776.29, 0, 112.269, 116.211, 114.186, 6.70891
